date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential,TMAX_C,TMIN_C,TAVG_C,PRCP_mm,AWND,WT01,WT02,WT08,CO_mean_ppm,CO_median_ppm,CO_max_ppm,AQI_mean_CO,NO2_mean_ppb,NO2_median_ppb,NO2_max_ppb,AQI_mean_NO2,NO2_first_max_hour_mode,PM25_mean_ugm3,PM25_median_ugm3,PM25_max_ugm3,AQI_mean_PM25
2020-02-15,1.0,0.0,13.0,-1.0,-1.0,0.0,21.11111111111111,9.444444444444445,15.277777777777777,0.0,0.89,0,0,1,0.5487179230769231,0.566667,0.779167,9.076923076923077,20.3605185625,20.8583335,26.845833,30.4375,8,16.4,17.1,22.8,64.5
2020-02-16,4.0,-1.0,27.0,-1.0,0.0,-1.0,22.22222222222222,10.555555555555555,16.38888888888889,0.0,0.45,1,1,1,0.4919870769230769,0.5375,0.675,7.846153846153846,16.3717616875,16.233333,22.545833,26.5,0,16.7,18.1,23.2,61.85714285714285
2020-02-17,7.0,0.0,30.0,-11.0,-32.0,7.0,21.11111111111111,10.555555555555555,15.833333333333332,0.0,1.12,0,0,1,0.5115384615384616,0.516667,0.691667,8.076923076923077,19.93509975,21.525,27.420833,32.3125,10,18.2,19.2,22.2,67.14285714285714
2020-02-18,-1.0,0.0,11.0,2.0,2.0,0.0,22.22222222222222,13.333333333333332,17.77777777777778,0.0,1.12,1,0,1,0.4847223076923077,0.475,0.905556,7.461538461538462,18.081516875,20.2089285,26.766667,28.6875,0,16.191666666666666,15.6,23.3,64.0
2020-02-19,-1.0,-1.0,13.0,1.0,2.0,0.0,21.11111111111111,13.88888888888889,17.5,0.0,1.34,0,0,1,0.3673077692307692,0.379167,0.475,5.615384615384615,15.973071375,16.3104165,24.125,28.3125,23,18.228571428571428,18.7,27.3,67.0
2020-02-20,1.0,0.0,11.0,2.0,2.0,-1.0,27.22222222222222,11.11111111111111,19.166666666666668,0.0,1.12,1,0,1,0.4939101538461538,0.5375,0.720833,7.923076923076923,23.6090126875,27.4895835,37.729167,40.5,20,19.25714285714286,21.5,25.0,68.85714285714286
2020-02-21,1.0,0.0,7.0,0.0,2.0,0.0,26.666666666666664,14.444444444444445,20.555555555555557,0.0,2.24,0,0,1,0.4604165384615384,0.470833,0.741667,8.0,18.338658875,20.06875,25.291667,36.375,0,13.12857142857143,12.05,21.1,56.92857142857143
2020-02-22,-1.0,-1.0,-13.0,-5.0,1.0,1.0,18.88888888888889,15.0,16.944444444444443,1.016,2.24,0,0,0,0.2096153846153846,0.208333,0.320833,2.8461538461538463,5.567278,4.897917,9.35,11.6875,21,6.1571428571428575,6.1,7.9,34.142857142857146
2020-02-23,4.0,1.0,13.0,0.0,2.0,0.0,20.0,11.666666666666666,15.833333333333332,0.0,1.12,0,0,0,0.273076923076923,0.270833,0.454167,3.923076923076923,8.379234499999999,8.6375,12.995833,17.8125,22,9.3,9.3,11.3,49.0
2020-02-24,1.0,-1.0,8.0,2.0,4.0,-1.0,21.666666666666668,11.11111111111111,16.38888888888889,0.0,0.67,0,0,1,0.4440933846153846,0.445833,0.6875,7.153846153846154,16.67268225,17.1833335,26.541176,26.6875,21,13.041666666666666,13.45,15.5,57.833333333333336
2020-02-25,2.0,1.0,13.0,3.0,3.0,-1.0,28.33333333333333,11.11111111111111,19.72222222222222,0.0,0.67,0,0,1,0.4967948461538461,0.5125,0.8875,7.615384615384615,22.2135715,25.122917,36.645833,39.25,19,12.157142857142857,13.0,16.9,54.57142857142857
2020-02-26,3.0,2.0,11.0,2.0,3.0,-1.0,27.22222222222222,11.666666666666666,19.444444444444443,0.0,0.89,0,0,0,0.4612181538461539,0.466667,0.779167,7.461538461538462,21.419044375,24.2854165,38.1375,35.875,20,9.157142857142857,9.2,12.2,47.57142857142857
2020-02-27,3.0,2.0,14.0,3.0,2.0,-1.0,30.0,13.88888888888889,21.944444444444443,0.0,1.57,0,0,1,0.4557690769230769,0.433333,0.720833,7.384615384615385,24.150676125,25.11875,43.859091,37.625,18,8.357142857142858,7.7,14.8,42.92857142857143
2020-02-28,4.0,4.0,10.0,2.0,3.0,-1.0,31.11111111111111,17.77777777777778,24.444444444444443,0.0,2.46,0,0,0,0.4259613846153846,0.4125,0.633333,7.384615384615385,20.6459239375,21.910417,27.995833,36.4375,9,7.5,7.5,11.0,40.85714285714285
2020-02-29,3.0,4.0,11.0,0.0,2.0,-1.0,22.77777777777778,15.555555555555555,19.166666666666668,0.0,2.68,0,0,1,0.3567307692307692,0.325,0.504167,6.076923076923077,11.5184669375,11.00625,19.045833,24.75,1,7.714285714285714,7.3,9.8,42.42857142857143
2020-03-01,4.0,3.0,-5.0,-3.0,1.0,0.0,17.22222222222222,12.22222222222222,14.72222222222222,0.254,2.68,0,0,1,0.2028846153846153,0.2,0.333333,2.6923076923076925,4.0779664375,3.9770835,6.4875,7.3125,6,7.266666666666667,7.15,8.6,40.41666666666666
2020-03-02,5.0,5.0,8.0,1.0,4.0,-1.0,23.33333333333333,10.0,16.666666666666668,0.0,2.91,0,0,0,0.2602565384615384,0.25,0.4375,4.230769230769231,9.40327225,7.93125,22.433333,22.625,6,5.742857142857143,5.0,8.3,31.857142857142858
2020-03-03,8.0,7.0,32.0,2.0,3.0,-1.0,27.77777777777778,13.333333333333332,20.555555555555557,0.0,1.12,0,0,0,0.3083333846153845,0.279167,0.533333,5.230769230769231,17.3388425,16.3125,28.941667,32.75,6,7.333333333333333,7.5,9.3,40.833333333333336
2020-03-04,4.0,6.0,9.0,-1.0,2.0,0.0,23.88888888888889,14.444444444444445,19.166666666666668,0.0,1.34,0,0,1,0.4217658461538461,0.4,0.645455,6.769230769230769,16.8061815,17.9095835,29.085714,27.8125,0,12.776923076923076,13.0,15.3,57.15384615384615
2020-03-05,4.0,7.0,9.0,0.0,2.0,0.0,23.88888888888889,14.444444444444445,19.166666666666668,0.0,1.34,0,0,1,0.4067307692307692,0.441667,0.541667,6.076923076923077,17.3563179375,16.765127,28.508333,28.1875,23,17.283333333333335,18.9,22.0,66.16666666666667
2020-03-06,3.0,6.0,7.0,-2.0,2.0,0.0,22.22222222222222,13.88888888888889,18.055555555555557,0.0,1.57,1,0,1,0.4304486153846154,0.458333,0.591667,6.923076923076923,16.316417625,16.5083335,23.3125,28.6875,8,12.44285714285714,11.3,19.9,56.85714285714285
2020-03-07,1.0,6.0,3.0,-4.0,2.0,0.0,19.444444444444443,13.88888888888889,16.666666666666668,0.0,1.57,0,0,0,0.1891024615384615,0.2,0.320833,2.4615384615384617,4.439730625,4.2333335000000005,7.083333,8.375,0,3.233333333333333,3.2,5.8,18.08333333333333
2020-03-08,3.0,4.0,16.0,-4.0,1.0,0.0,19.444444444444443,11.11111111111111,15.277777777777777,0.0,1.79,0,0,0,0.2144231538461538,0.2,0.379167,2.923076923076923,6.718331,6.08125,11.795833,15.8125,23,3.0285714285714285,2.8,4.3,16.857142857142858
2020-03-09,3.0,7.0,6.0,-4.0,3.0,0.0,23.88888888888889,11.666666666666666,17.77777777777778,1.016,2.46,0,0,0,0.3086538461538461,0.3375,0.4375,5.0,13.198177125,14.0375,24.654167,24.6875,6,5.528571428571429,4.7,8.5,30.714285714285715
2020-03-10,-3.0,3.0,-29.0,-13.0,-2.0,3.0,19.444444444444443,15.0,17.22222222222222,6.35,4.92,0,0,1,0.2076923846153846,0.2,0.3,2.3076923076923075,7.7688425625,6.5979165,13.209091,13.25,0,3.35,3.4,4.4,18.642857142857142
2020-03-11,2.0,11.0,5.0,-6.0,0.0,1.0,22.77777777777778,15.555555555555555,19.166666666666668,0.0,2.24,0,0,0,0.2154913846153846,0.222222,0.345833,3.3076923076923075,8.7922765625,7.275,14.533333,18.0,22,3.985714285714285,4.0,4.8,22.142857142857142
2020-03-12,-8.0,12.0,-35.0,-19.0,-3.0,4.0,17.77777777777778,13.333333333333332,15.555555555555555,33.02,1.34,1,0,0,0.3856685384615384,0.341667,0.595833,6.153846153846154,16.322568125,14.71875,34.858333,26.0,11,7.428571428571429,7.0,10.2,40.57142857142857
2020-03-13,-5.0,37.0,-37.0,-21.0,-7.0,6.0,15.555555555555555,12.777777777777777,14.166666666666666,12.7,0.89,1,0,1,0.2592948461538462,0.254167,0.4,3.615384615384616,11.245120125,9.8645835,22.791667,18.9375,6,5.133333333333334,4.95,8.4,28.58333333333333
2020-03-14,-14.0,27.0,-47.0,-23.0,-7.0,7.0,16.11111111111111,13.88888888888889,15.0,6.604,1.12,1,0,1,0.2400641538461538,0.229167,0.375,3.3076923076923075,7.4116960625,6.1979165,13.875,13.75,0,4.0,4.2,6.1,22.142857142857142
2020-03-15,-16.0,12.0,-22.0,-21.0,-9.0,6.0,18.33333333333333,12.22222222222222,15.277777777777777,1.27,2.24,1,0,0,0.2113095384615384,0.2,0.329167,3.076923076923077,4.98847575,4.475,11.104167,12.4375,0,4.685714285714285,4.8,5.6,26.142857142857142
2020-03-16,-19.0,12.0,-40.0,-29.0,-22.0,11.0,18.33333333333333,11.11111111111111,14.72222222222222,9.652,2.91,0,0,0,0.2695511538461538,0.279167,0.383333,4.461538461538462,9.383899375,9.339583,16.7875,20.1875,5,5.142857142857143,5.2,7.6,28.428571428571427
2020-03-17,-24.0,8.0,-21.0,-30.0,-29.0,14.0,17.22222222222222,8.333333333333334,12.777777777777777,0.0,1.57,0,0,0,0.2743343076923077,0.266667,0.4375,4.384615384615385,12.6370116875,13.34375,33.6875,23.5625,5,4.985714285714286,4.3,8.1,27.714285714285715
2020-03-18,-28.0,3.0,-12.0,-33.0,-33.0,16.0,18.33333333333333,8.88888888888889,13.61111111111111,0.0,2.01,0,0,0,0.3313462307692308,0.286667,0.529167,4.923076923076923,12.581123375,12.675,28.504167,24.0625,6,6.714285714285714,6.0,11.0,36.57142857142857
2020-03-19,-32.0,3.0,-30.0,-39.0,-35.0,18.0,17.77777777777778,10.555555555555555,14.166666666666666,0.0,2.46,0,0,0,0.2501735833333333,0.2552085,0.4375,4.25,9.275096,8.216666499999999,20.158333,20.4375,6,4.108333333333333,4.1,7.0,22.83333333333333
2020-03-20,-40.0,-5.0,-29.0,-44.0,-41.0,22.0,18.88888888888889,12.22222222222222,15.555555555555555,0.0,2.91,0,0,0,0.2231097692307692,0.216667,0.35,3.0,8.050312375,6.9238225,12.770833,18.875,6,3.671428571428572,3.7,5.7,20.428571428571427
2020-03-21,-48.0,-13.0,-28.0,-46.0,-34.0,18.0,20.555555555555557,12.777777777777777,16.666666666666668,0.254,1.79,0,0,0,0.2378204615384615,0.220833,0.416667,3.230769230769231,6.8601932,5.8375,13.633333,15.066666666666666,6,3.628571428571429,3.1,5.5,20.285714285714285
2020-03-22,-52.0,-26.0,-36.0,-54.0,-38.0,16.0,23.33333333333333,11.666666666666666,17.5,38.354,1.57,1,0,0,0.24340275,0.233333,0.375,4.083333333333333,6.213224666666666,6.229167,9.029167,14.466666666666669,2,4.269230769230769,3.6,7.7,23.76923076923077
2020-03-23,-42.0,-19.0,-32.0,-49.0,-47.0,22.0,19.444444444444443,12.777777777777777,16.11111111111111,0.7619999999999999,2.24,1,0,0,0.17916675,0.1833335,0.329167,2.5,6.115307875,5.05625,25.125,15.75,6,3.157142857142857,2.8,5.0,17.571428571428573
2020-03-24,-43.0,-20.0,-34.0,-50.0,-49.0,23.0,18.88888888888889,11.11111111111111,15.0,0.0,2.68,0,0,1,0.238368,0.2333335,0.3875,3.9166666666666665,8.21065975,7.585417,19.591667,17.125,6,4.342857142857143,4.4,6.0,24.142857142857142
2020-03-25,-43.0,-20.0,-34.0,-50.0,-49.0,23.0,18.88888888888889,12.22222222222222,15.555555555555555,0.0,2.68,0,0,0,0.1843751666666666,0.166667,0.325,2.583333333333333,5.881323125,4.7395835,21.75,16.375,6,2.8083333333333336,2.65,5.0,15.666666666666666
2020-03-26,-43.0,-20.0,-35.0,-51.0,-50.0,24.0,17.77777777777778,9.444444444444445,13.61111111111111,0.0,3.58,0,0,0,0.2069444166666666,0.2041665,0.3375,3.0,7.469260625,7.089582999999999,21.291667,20.3125,6,3.3285714285714287,3.3,4.7,18.571428571428573
2020-03-27,-45.0,-19.0,-34.0,-51.0,-49.0,25.0,19.444444444444443,10.0,14.72222222222222,0.0,2.91,0,0,0,0.2184828461538461,0.2,0.3875,3.230769230769231,8.5722290625,7.1854165000000005,22.35,20.0625,6,5.6000000000000005,5.6,8.6,31.0
2020-03-28,-50.0,-21.0,-52.0,-52.0,-39.0,20.0,20.0,12.22222222222222,16.11111111111111,0.0,2.68,0,0,0,0.2301281538461538,0.204167,0.370833,3.1538461538461537,7.42278075,7.612500000000001,12.295833,16.75,6,7.235714285714286,7.15,8.8,40.285714285714285
2020-03-29,-51.0,-27.0,-48.0,-54.0,-41.0,17.0,20.555555555555557,12.22222222222222,16.38888888888889,0.0,3.36,0,0,0,0.2464743846153846,0.229167,0.3875,4.0,6.169316125,6.8104165000000005,10.016667,13.375,4,8.471428571428572,8.3,10.2,45.71428571428572
2020-03-30,-42.0,-23.0,-34.0,-52.0,-51.0,22.0,23.88888888888889,12.22222222222222,18.055555555555557,0.0,2.01,0,0,0,0.2663462307692307,0.270833,0.416667,4.230769230769231,10.3412364375,8.8125,23.979167,20.8125,7,7.8,8.1,9.7,43.0
2020-03-31,-42.0,-22.0,-38.0,-50.0,-51.0,23.0,25.555555555555557,13.333333333333332,19.444444444444443,0.0,1.57,0,0,0,0.3490535384615384,0.3625,0.516667,5.615384615384615,15.9210729375,16.020833,32.358333,27.75,7,9.308333333333334,9.2,12.6,49.083333333333336
2020-04-01,-41.0,-18.0,-34.0,-49.0,-52.0,23.0,23.88888888888889,15.555555555555555,19.72222222222222,0.0,1.79,0,0,1,0.2740385384615385,0.2875,0.395833,4.153846153846154,9.419193375,10.0708335,15.404167,19.875,4,7.971428571428571,7.9,10.2,44.0
2020-04-02,-43.0,-19.0,-39.0,-52.0,-52.0,25.0,22.22222222222222,15.555555555555555,18.88888888888889,0.0,2.01,0,0,0,0.1842948461538461,0.2,0.3,2.230769230769231,5.350742125,4.8479165,11.794118,12.5625,23,9.157142857142857,9.2,12.0,48.57142857142857
2020-04-03,-43.0,-15.0,-38.0,-51.0,-51.0,25.0,21.666666666666668,13.88888888888889,17.77777777777778,0.0,1.79,0,0,1,0.2288460769230769,0.233333,0.3125,3.4615384615384617,8.3138813125,8.2354165,12.466667,19.0625,5,9.671428571428573,10.25,10.9,50.42857142857143
2020-04-04,-50.0,-20.0,-54.0,-51.0,-41.0,20.0,21.11111111111111,13.88888888888889,17.5,0.0,2.68,0,0,1,0.218589923076923,0.204167,0.354167,2.8461538461538463,5.402117125,5.2458335,7.708333,14.4375,0,9.37142857142857,9.8,10.5,50.0
2020-04-05,-53.0,-27.0,-59.0,-57.0,-43.0,17.0,18.33333333333333,13.88888888888889,16.11111111111111,3.048,1.57,0,0,1,0.1464743076923076,0.120833,0.3,1.8461538461538465,2.0144134375,2.26875,3.733333,3.75,0,3.128571428571429,3.0,4.7,17.428571428571427
2020-04-06,-49.0,-27.0,-58.0,-59.0,-54.0,25.0,17.77777777777778,13.333333333333332,15.555555555555555,27.94,2.01,1,0,0,0.1583333076923077,0.15,0.316667,2.076923076923077,4.966779875,3.79375,20.3,9.6875,7,2.2166666666666663,2.05,4.1,12.166666666666666
2020-04-07,-51.0,-30.0,-58.0,-58.0,-54.0,26.0,19.444444444444443,11.666666666666666,15.555555555555555,20.828,2.01,1,0,0,0.2044871538461538,0.2,0.354167,2.5384615384615383,7.4698935,6.387499999999999,15.929167,15.6875,6,3.585714285714286,3.2,6.1,20.0
2020-04-08,-49.0,-27.0,-51.0,-57.0,-55.0,26.0,17.77777777777778,11.11111111111111,14.444444444444445,0.254,2.91,1,0,1,0.191521,0.179167,0.345833,2.6153846153846154,7.3373039375,5.1354165,24.533333,17.4375,6,3.4714285714285715,3.0,5.7,19.428571428571427
2020-04-09,-55.0,-34.0,-69.0,-65.0,-57.0,29.0,13.88888888888889,11.11111111111111,12.5,19.05,5.82,0,0,0,0.1927083333333333,0.189583,0.304167,2.333333333333333,6.262028125,6.2854165,11.041667,10.0,6,2.557142857142857,2.6,5.1,14.142857142857142
2020-04-10,-49.0,-22.0,-55.0,-58.0,-57.0,29.0,19.444444444444443,10.555555555555555,15.0,4.064,3.13,0,0,0,0.2121526666666666,0.214583,0.3125,3.75,7.87109375,7.668749999999999,14.0625,19.125,20,2.7,2.8,3.8,15.0
2020-04-11,-51.0,-19.0,-54.0,-52.0,-43.0,20.0,22.77777777777778,11.666666666666666,17.22222222222222,0.0,2.24,0,0,0,0.2770833333333333,0.2729165,0.4,4.833333333333333,7.13183875,7.26875,11.316667,15.25,0,6.071428571428571,6.0,7.5,33.857142857142854
2020-04-12,-64.0,-38.0,-69.0,-60.0,-46.0,18.0,17.22222222222222,14.444444444444445,15.833333333333332,1.5239999999999998,0.89,1,0,1,0.175641,0.2,0.3,1.9230769230769231,3.1188745,3.2437500000000004,5.958333,5.5,6,4.454545454545454,4.5,5.5,24.63636363636364
2020-04-13,-47.0,-28.0,-47.0,-54.0,-51.0,23.0,19.444444444444443,13.333333333333332,16.38888888888889,0.0,2.01,0,0,1,0.1939102307692307,0.2,0.3,2.4615384615384617,6.7748868125,6.1541665000000005,18.225,13.3125,23,4.728571428571429,4.5,5.7,26.285714285714285
