date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential
2020-02-15,1.0,0.0,13.0,-1.0,-1.0,0.0
2020-02-16,4.0,-1.0,27.0,-1.0,0.0,-1.0
2020-02-17,7.0,0.0,30.0,-11.0,-32.0,7.0
2020-02-18,-1.0,0.0,11.0,2.0,2.0,0.0
2020-02-19,-1.0,-1.0,13.0,1.0,2.0,0.0
2020-02-20,1.0,0.0,11.0,2.0,2.0,-1.0
2020-02-21,1.0,0.0,7.0,0.0,2.0,0.0
2020-02-22,-1.0,-1.0,-13.0,-5.0,1.0,1.0
2020-02-23,4.0,1.0,13.0,0.0,2.0,0.0
2020-02-24,1.0,-1.0,8.0,2.0,4.0,-1.0
2020-02-25,2.0,1.0,13.0,3.0,3.0,-1.0
2020-02-26,3.0,2.0,11.0,2.0,3.0,-1.0
2020-02-27,3.0,2.0,14.0,3.0,2.0,-1.0
2020-02-28,4.0,4.0,10.0,2.0,3.0,-1.0
2020-02-29,3.0,4.0,11.0,0.0,2.0,-1.0
2020-03-01,4.0,3.0,-5.0,-3.0,1.0,0.0
2020-03-02,5.0,5.0,8.0,1.0,4.0,-1.0
2020-03-03,8.0,7.0,32.0,2.0,3.0,-1.0
2020-03-04,4.0,6.0,9.0,-1.0,2.0,0.0
2020-03-05,4.0,7.0,9.0,0.0,2.0,0.0
2020-03-06,3.0,6.0,7.0,-2.0,2.0,0.0
2020-03-07,1.0,6.0,3.0,-4.0,2.0,0.0
2020-03-08,3.0,4.0,16.0,-4.0,1.0,0.0
2020-03-09,3.0,7.0,6.0,-4.0,3.0,0.0
2020-03-10,-3.0,3.0,-29.0,-13.0,-2.0,3.0
2020-03-11,2.0,11.0,5.0,-6.0,0.0,1.0
2020-03-12,-8.0,12.0,-35.0,-19.0,-3.0,4.0
2020-03-13,-5.0,37.0,-37.0,-21.0,-7.0,6.0
2020-03-14,-14.0,27.0,-47.0,-23.0,-7.0,7.0
2020-03-15,-16.0,12.0,-22.0,-21.0,-9.0,6.0
2020-03-16,-19.0,12.0,-40.0,-29.0,-22.0,11.0
2020-03-17,-24.0,8.0,-21.0,-30.0,-29.0,14.0
2020-03-18,-28.0,3.0,-12.0,-33.0,-33.0,16.0
2020-03-19,-32.0,3.0,-30.0,-39.0,-35.0,18.0
2020-03-20,-40.0,-5.0,-29.0,-44.0,-41.0,22.0
2020-03-21,-48.0,-13.0,-28.0,-46.0,-34.0,18.0
2020-03-22,-52.0,-26.0,-36.0,-54.0,-38.0,16.0
2020-03-23,-42.0,-19.0,-32.0,-49.0,-47.0,22.0
2020-03-24,-43.0,-20.0,-34.0,-50.0,-49.0,23.0
2020-03-25,-43.0,-20.0,-34.0,-50.0,-49.0,23.0
2020-03-26,-43.0,-20.0,-35.0,-51.0,-50.0,24.0
2020-03-27,-45.0,-19.0,-34.0,-51.0,-49.0,25.0
2020-03-28,-50.0,-21.0,-52.0,-52.0,-39.0,20.0
2020-03-29,-51.0,-27.0,-48.0,-54.0,-41.0,17.0
2020-03-30,-42.0,-23.0,-34.0,-52.0,-51.0,22.0
2020-03-31,-42.0,-22.0,-38.0,-50.0,-51.0,23.0
2020-04-01,-41.0,-18.0,-34.0,-49.0,-52.0,23.0
2020-04-02,-43.0,-19.0,-39.0,-52.0,-52.0,25.0
2020-04-03,-43.0,-15.0,-38.0,-51.0,-51.0,25.0
2020-04-04,-50.0,-20.0,-54.0,-51.0,-41.0,20.0
2020-04-05,-53.0,-27.0,-59.0,-57.0,-43.0,17.0
2020-04-06,-49.0,-27.0,-58.0,-59.0,-54.0,25.0
2020-04-07,-51.0,-30.0,-58.0,-58.0,-54.0,26.0
2020-04-08,-49.0,-27.0,-51.0,-57.0,-55.0,26.0
2020-04-09,-55.0,-34.0,-69.0,-65.0,-57.0,29.0
2020-04-10,-49.0,-22.0,-55.0,-58.0,-57.0,29.0
2020-04-11,-51.0,-19.0,-54.0,-52.0,-43.0,20.0
2020-04-12,-64.0,-38.0,-69.0,-60.0,-46.0,18.0
2020-04-13,-47.0,-28.0,-47.0,-54.0,-51.0,23.0
2020-04-14,-45.0,-25.0,-38.0,-51.0,-51.0,24.0
2020-04-15,-47.0,-21.0,-36.0,-50.0,-51.0,24.0
2020-04-16,-55.0,-20.0,-38.0,-51.0,-51.0,24.0
2020-04-17,-56.0,-19.0,-42.0,-52.0,-50.0,25.0
2020-04-18,-59.0,-21.0,-56.0,-50.0,-38.0,19.0
2020-04-19,-60.0,-25.0,-50.0,-53.0,-39.0,16.0
2020-04-20,-54.0,-22.0,-38.0,-50.0,-49.0,22.0
2020-04-21,-54.0,-21.0,-35.0,-51.0,-50.0,23.0
2020-04-22,-54.0,-20.0,-33.0,-51.0,-50.0,23.0
2020-04-23,-54.0,-19.0,-35.0,-51.0,-51.0,24.0
2020-04-24,-54.0,-16.0,-37.0,-51.0,-49.0,24.0
2020-04-25,-57.0,-16.0,-48.0,-48.0,-37.0,17.0
2020-04-26,-57.0,-21.0,-45.0,-52.0,-39.0,15.0
2020-04-27,-52.0,-19.0,-32.0,-49.0,-48.0,21.0
2020-04-28,-52.0,-18.0,-32.0,-48.0,-49.0,14.0
2020-04-29,-50.0,-19.0,-34.0,-49.0,-49.0,22.0
2020-04-30,-48.0,-16.0,-33.0,-48.0,-50.0,22.0
2020-05-01,-48.0,-12.0,-30.0,-46.0,-48.0,23.0
2020-05-02,-51.0,-11.0,-41.0,-43.0,-35.0,16.0
2020-05-03,-51.0,-17.0,-35.0,-47.0,-34.0,13.0
2020-05-04,-46.0,-15.0,-26.0,-46.0,-46.0,19.0
2020-05-05,-46.0,-11.0,-25.0,-45.0,-47.0,20.0
2020-05-06,-47.0,-14.0,-26.0,-47.0,-48.0,21.0
2020-05-07,-46.0,-12.0,-26.0,-47.0,-48.0,21.0
2020-05-08,-46.0,-8.0,-23.0,-45.0,-46.0,21.0
2020-05-09,-47.0,1.0,-32.0,-39.0,-32.0,14.0
2020-05-10,-48.0,-4.0,-30.0,-40.0,-31.0,10.0
2020-05-11,-46.0,-18.0,-20.0,-46.0,-45.0,19.0
2020-05-12,-46.0,-14.0,-21.0,-45.0,-46.0,20.0
2020-05-13,-45.0,-14.0,-16.0,-44.0,-46.0,20.0
2020-05-14,-45.0,-14.0,-17.0,-45.0,-46.0,21.0
2020-05-15,-46.0,-11.0,-14.0,-44.0,-45.0,21.0
2020-05-16,-48.0,-10.0,-22.0,-40.0,-30.0,14.0
2020-05-17,-48.0,-15.0,-13.0,-44.0,-30.0,12.0
2020-05-18,-45.0,-18.0,-33.0,-49.0,-44.0,19.0
2020-05-19,-42.0,-13.0,-13.0,-44.0,-44.0,19.0
2020-05-20,-42.0,-11.0,-10.0,-43.0,-44.0,19.0
2020-05-21,-42.0,-10.0,-10.0,-43.0,-44.0,19.0
2020-05-22,-43.0,-8.0,-10.0,-43.0,-42.0,19.0
2020-05-23,-46.0,-7.0,-18.0,-39.0,-28.0,12.0
2020-05-24,-47.0,-11.0,-2.0,-43.0,-29.0,10.0
2020-05-25,-46.0,-13.0,16.0,-52.0,-72.0,24.0
2020-05-26,-43.0,-13.0,-12.0,-43.0,-42.0,18.0
2020-05-27,-42.0,-13.0,-8.0,-42.0,-42.0,18.0
2020-05-28,-41.0,-12.0,-10.0,-43.0,-42.0,19.0
2020-05-29,-43.0,-12.0,-13.0,-42.0,-40.0,19.0
2020-05-30,-45.0,-12.0,-20.0,-39.0,-21.0,13.0
2020-05-31,-51.0,-23.0,-23.0,-45.0,-25.0,12.0
2020-06-01,-48.0,-24.0,-35.0,-47.0,-43.0,20.0
2020-06-02,-45.0,-13.0,-28.0,-45.0,-43.0,20.0
2020-06-03,-39.0,-6.0,-16.0,-43.0,-42.0,18.0
2020-06-04,-38.0,-8.0,-14.0,-42.0,-42.0,18.0
2020-06-05,-39.0,-9.0,-19.0,-42.0,-40.0,18.0
2020-06-06,-40.0,-7.0,-19.0,-36.0,-21.0,11.0
2020-06-07,-38.0,-11.0,-4.0,-38.0,-21.0,9.0
2020-06-08,-34.0,-11.0,-7.0,-40.0,-39.0,15.0
2020-06-09,-34.0,-8.0,-6.0,-40.0,-40.0,16.0
2020-06-10,-33.0,-8.0,-7.0,-39.0,-40.0,16.0
2020-06-11,-32.0,-8.0,-7.0,-39.0,-40.0,16.0
2020-06-12,-33.0,-8.0,-6.0,-38.0,-39.0,16.0
2020-06-13,-36.0,-7.0,-12.0,-32.0,-18.0,9.0
2020-06-14,-34.0,-11.0,3.0,-34.0,-19.0,7.0
2020-06-15,-31.0,-13.0,-4.0,-37.0,-38.0,14.0
2020-06-16,-31.0,-10.0,-2.0,-37.0,-39.0,15.0
2020-06-17,-31.0,-10.0,-1.0,-37.0,-40.0,15.0
2020-06-18,-30.0,-10.0,-5.0,-39.0,-40.0,15.0
2020-06-19,-31.0,-8.0,-4.0,-38.0,-39.0,14.0
2020-06-20,-33.0,-4.0,-16.0,-34.0,-18.0,8.0
2020-06-21,-35.0,-8.0,-7.0,-37.0,-17.0,6.0
2020-06-22,-31.0,-16.0,-4.0,-39.0,-41.0,14.0
2020-06-23,-30.0,-12.0,-2.0,-38.0,-41.0,15.0
2020-06-24,-30.0,-12.0,-3.0,-39.0,-40.0,15.0
2020-06-25,-30.0,-11.0,-4.0,-38.0,-40.0,15.0
2020-06-26,-32.0,-11.0,-6.0,-38.0,-39.0,15.0
2020-06-27,-34.0,-10.0,-13.0,-34.0,-19.0,9.0
2020-06-28,-34.0,-15.0,-9.0,-38.0,-18.0,8.0
2020-06-29,-28.0,-14.0,-5.0,-39.0,-39.0,14.0
2020-06-30,-27.0,-11.0,-4.0,-39.0,-40.0,14.0
2020-07-01,-26.0,-9.0,-4.0,-37.0,-40.0,14.0
2020-07-02,-25.0,-3.0,-3.0,-36.0,-42.0,14.0
2020-07-03,-27.0,5.0,-3.0,-40.0,-58.0,19.0
2020-07-04,-51.0,-9.0,-35.0,-44.0,-36.0,12.0
2020-07-05,-40.0,-21.0,-24.0,-43.0,-25.0,9.0
2020-07-06,-29.0,-11.0,-6.0,-40.0,-42.0,14.0
2020-07-07,-29.0,-9.0,-3.0,-38.0,-42.0,15.0
2020-07-08,-30.0,-10.0,-2.0,-39.0,-41.0,15.0
2020-07-09,-29.0,-9.0,-5.0,-40.0,-41.0,16.0
2020-07-10,-32.0,-8.0,-8.0,-40.0,-40.0,16.0
2020-07-11,-35.0,-8.0,-20.0,-37.0,-20.0,10.0
2020-07-12,-34.0,-12.0,-9.0,-40.0,-21.0,8.0
2020-07-13,-28.0,-11.0,-8.0,-41.0,-41.0,14.0
2020-07-14,-30.0,-10.0,-4.0,-41.0,-42.0,15.0
2020-07-15,-31.0,-11.0,-4.0,-41.0,-42.0,16.0
2020-07-16,-32.0,-11.0,-5.0,-42.0,-42.0,16.0
2020-07-17,-33.0,-10.0,-5.0,-41.0,-41.0,16.0
2020-07-18,-36.0,-9.0,-15.0,-37.0,-22.0,10.0
2020-07-19,-35.0,-13.0,-4.0,-40.0,-23.0,8.0
2020-07-20,-31.0,-13.0,-2.0,-41.0,-42.0,14.0
2020-07-21,-31.0,-12.0,-1.0,-41.0,-43.0,15.0
2020-07-22,-31.0,-12.0,-2.0,-42.0,-42.0,15.0
2020-07-23,-32.0,-12.0,-4.0,-42.0,-42.0,16.0
2020-07-24,-33.0,-11.0,-6.0,-41.0,-40.0,16.0
2020-07-25,-35.0,-10.0,-13.0,-37.0,-22.0,9.0
2020-07-26,-34.0,-14.0,-2.0,-39.0,-23.0,8.0
2020-07-27,-30.0,-14.0,-4.0,-41.0,-42.0,14.0
2020-07-28,-31.0,-13.0,-2.0,-41.0,-42.0,15.0
2020-07-29,-31.0,-13.0,-2.0,-41.0,-42.0,15.0
2020-07-30,-32.0,-12.0,-6.0,-41.0,-43.0,15.0
2020-07-31,-32.0,-10.0,-4.0,-39.0,-41.0,15.0
2020-08-01,-35.0,-7.0,-14.0,-35.0,-22.0,9.0
