DATE,TMAX_C,TMIN_C,TAVG_C,PRCP_mm,AWND,WT01,WT02,WT08
2020-01-01,21.11111111111111,9.444444444444445,15.277777777777777,0.0,1.34,0,0,0
2020-01-02,21.11111111111111,10.0,15.555555555555555,0.0,1.34,0,0,1
2020-01-03,24.444444444444443,10.555555555555555,17.5,0.0,0.89,0,0,0
2020-01-04,22.22222222222222,8.88888888888889,15.555555555555555,0.0,0.67,1,0,1
2020-01-05,21.666666666666668,8.88888888888889,15.277777777777777,0.0,0.67,1,0,1
2020-01-06,26.11111111111111,8.88888888888889,17.5,0.0,0.89,0,0,0
2020-01-07,26.11111111111111,13.333333333333332,19.72222222222222,0.0,2.46,0,0,0
2020-01-08,18.88888888888889,11.666666666666666,15.277777777777777,0.0,1.57,0,0,1
2020-01-09,17.77777777777778,10.555555555555555,14.166666666666666,0.0,1.57,0,0,1
2020-01-10,19.444444444444443,8.333333333333334,13.88888888888889,0.0,1.12,0,0,0
2020-01-11,18.333333333333332,7.777777777777778,13.055555555555555,0.0,0.89,0,0,0
2020-01-12,18.333333333333332,9.444444444444445,13.88888888888889,0.0,1.12,0,0,1
2020-01-13,18.333333333333332,9.444444444444445,13.88888888888889,0.0,0.67,1,0,1
2020-01-14,18.333333333333332,8.88888888888889,13.61111111111111,0.0,0.45,0,0,1
2020-01-15,19.444444444444443,8.333333333333334,13.88888888888889,0.0,0.22,0,0,1
2020-01-16,17.22222222222222,10.0,13.61111111111111,3.8099999999999996,1.34,1,0,1
2020-01-17,18.333333333333332,9.444444444444445,13.88888888888889,3.8099999999999996,2.01,1,0,0
2020-01-18,22.77777777777778,9.444444444444445,16.11111111111111,0.0,1.57,0,0,0
2020-01-19,25.0,12.222222222222221,18.61111111111111,0.0,2.01,0,0,0
2020-01-20,18.333333333333332,13.333333333333332,15.833333333333332,0.0,0.67,0,0,0
2020-01-21,18.333333333333332,12.222222222222221,15.277777777777777,0.508,0.89,0,0,0
2020-01-22,19.444444444444443,11.11111111111111,15.277777777777777,0.0,0.45,0,0,1
2020-01-23,24.444444444444443,10.555555555555555,17.5,0.0,1.57,0,0,1
2020-01-24,23.88888888888889,11.11111111111111,17.5,0.0,0.89,1,1,1
2020-01-25,22.22222222222222,11.666666666666666,16.944444444444443,0.0,0.67,1,1,1
2020-01-26,17.22222222222222,13.333333333333332,15.277777777777777,0.0,1.34,0,0,1
2020-01-27,22.77777777777778,11.666666666666666,17.22222222222222,0.0,1.57,1,0,1
2020-01-28,25.0,12.777777777777777,18.88888888888889,0.0,2.01,0,0,0
2020-01-29,25.555555555555554,13.88888888888889,19.72222222222222,0.0,3.13,0,0,0
2020-01-30,24.444444444444443,11.11111111111111,17.77777777777778,0.0,0.89,0,0,0
2020-01-31,28.333333333333332,10.555555555555555,19.444444444444443,0.0,0.89,0,0,0
2020-02-01,30.0,12.777777777777777,21.38888888888889,0.0,1.57,0,0,0
2020-02-02,22.22222222222222,12.777777777777777,17.5,0.0,2.46,0,0,0
2020-02-03,17.22222222222222,8.88888888888889,13.055555555555555,0.0,5.82,0,0,0
2020-02-04,16.666666666666668,5.555555555555555,11.11111111111111,0.0,1.12,0,0,0
2020-02-05,17.77777777777778,6.666666666666666,12.222222222222221,0.0,1.12,0,0,0
2020-02-06,19.444444444444443,8.333333333333334,13.88888888888889,0.0,0.45,0,0,0
2020-02-07,20.555555555555554,8.88888888888889,14.722222222222221,0.0,1.34,0,0,1
2020-02-08,21.11111111111111,10.555555555555555,15.833333333333332,0.0,1.12,1,0,1
2020-02-09,17.22222222222222,12.222222222222221,14.722222222222221,0.0,2.91,0,0,1
2020-02-10,24.444444444444443,11.11111111111111,17.77777777777778,0.0,2.24,0,0,1
2020-02-11,23.333333333333332,11.11111111111111,17.22222222222222,0.0,0.67,0,0,0
2020-02-12,20.555555555555554,10.0,15.277777777777777,0.0,0.89,0,0,1
2020-02-13,21.666666666666668,10.0,15.833333333333332,0.0,1.12,0,0,0
2020-02-14,21.666666666666668,9.444444444444445,15.555555555555555,0.0,0.67,0,0,1
2020-02-15,21.11111111111111,9.444444444444445,15.277777777777777,0.0,0.89,0,0,1
2020-02-16,22.22222222222222,10.555555555555555,16.38888888888889,0.0,0.45,1,1,1
2020-02-17,21.11111111111111,10.555555555555555,15.833333333333332,0.0,1.12,0,0,1
2020-02-18,22.22222222222222,13.333333333333332,17.77777777777778,0.0,1.12,1,0,1
2020-02-19,21.11111111111111,13.88888888888889,17.5,0.0,1.34,0,0,1
2020-02-20,27.22222222222222,11.11111111111111,19.166666666666668,0.0,1.12,1,0,1
2020-02-21,26.666666666666664,14.444444444444445,20.555555555555554,0.0,2.24,0,0,1
2020-02-22,18.88888888888889,15.0,16.944444444444443,1.016,2.24,0,0,0
2020-02-23,20.0,11.666666666666666,15.833333333333332,0.0,1.12,0,0,0
2020-02-24,21.666666666666668,11.11111111111111,16.38888888888889,0.0,0.67,0,0,1
2020-02-25,28.333333333333332,11.11111111111111,19.72222222222222,0.0,0.67,0,0,1
2020-02-26,27.22222222222222,11.666666666666666,19.444444444444443,0.0,0.89,0,0,0
2020-02-27,30.0,13.88888888888889,21.944444444444443,0.0,1.57,0,0,1
2020-02-28,31.11111111111111,17.77777777777778,24.444444444444443,0.0,2.46,0,0,0
2020-02-29,22.77777777777778,15.555555555555555,19.166666666666668,0.0,2.68,0,0,1
2020-03-01,17.22222222222222,12.222222222222221,14.722222222222221,0.254,2.68,0,0,1
2020-03-02,23.333333333333332,10.0,16.666666666666668,0.0,2.91,0,0,0
2020-03-03,27.77777777777778,13.333333333333332,20.555555555555554,0.0,1.12,0,0,0
2020-03-04,23.88888888888889,14.444444444444445,19.166666666666668,0.0,1.34,0,0,1
2020-03-05,23.88888888888889,14.444444444444445,19.166666666666668,0.0,1.34,0,0,1
2020-03-06,22.22222222222222,13.88888888888889,18.055555555555554,0.0,1.57,1,0,1
2020-03-07,19.444444444444443,13.88888888888889,16.666666666666668,0.0,1.57,0,0,0
2020-03-08,19.444444444444443,11.11111111111111,15.277777777777777,0.0,1.79,0,0,0
2020-03-09,23.88888888888889,11.666666666666666,17.77777777777778,1.016,2.46,0,0,0
2020-03-10,19.444444444444443,15.0,17.22222222222222,6.35,4.92,0,0,1
2020-03-11,22.77777777777778,15.555555555555555,19.166666666666668,0.0,2.24,0,0,0
2020-03-12,17.77777777777778,13.333333333333332,15.555555555555555,33.019999999999996,1.34,1,0,0
2020-03-13,15.555555555555555,12.777777777777777,14.166666666666666,12.7,0.89,1,0,1
2020-03-14,16.11111111111111,13.88888888888889,15.0,6.604,1.12,1,0,1
2020-03-15,18.333333333333332,12.222222222222221,15.277777777777777,1.27,2.24,1,0,0
2020-03-16,18.333333333333332,11.11111111111111,14.722222222222221,9.652,2.91,0,0,0
2020-03-17,17.22222222222222,8.333333333333334,12.777777777777777,0.0,1.57,0,0,0
2020-03-18,18.333333333333332,8.88888888888889,13.61111111111111,0.0,2.01,0,0,0
2020-03-19,17.77777777777778,10.555555555555555,14.166666666666666,0.0,2.46,0,0,0
2020-03-20,18.88888888888889,12.222222222222221,15.555555555555555,0.0,2.91,0,0,0
2020-03-21,20.555555555555554,12.777777777777777,16.666666666666668,0.254,1.79,0,0,0
2020-03-22,23.333333333333332,11.666666666666666,17.5,38.354,1.57,1,0,0
2020-03-23,19.444444444444443,12.777777777777777,16.11111111111111,0.7619999999999999,2.24,1,0,0
2020-03-24,18.88888888888889,11.11111111111111,15.0,0.0,2.68,0,0,1
2020-03-25,18.88888888888889,12.222222222222221,15.555555555555555,0.0,2.68,0,0,0
2020-03-26,17.77777777777778,9.444444444444445,13.61111111111111,0.0,3.58,0,0,0
2020-03-27,19.444444444444443,10.0,14.722222222222221,0.0,2.91,0,0,0
2020-03-28,20.0,12.222222222222221,16.11111111111111,0.0,2.68,0,0,0
2020-03-29,20.555555555555554,12.222222222222221,16.38888888888889,0.0,3.36,0,0,0
2020-03-30,23.88888888888889,12.222222222222221,18.055555555555554,0.0,2.01,0,0,0
2020-03-31,25.555555555555554,13.333333333333332,19.444444444444443,0.0,1.57,0,0,0
2020-04-01,23.88888888888889,15.555555555555555,19.72222222222222,0.0,1.79,0,0,1
2020-04-02,22.22222222222222,15.555555555555555,18.88888888888889,0.0,2.01,0,0,0
2020-04-03,21.666666666666668,13.88888888888889,17.77777777777778,0.0,1.79,0,0,1
2020-04-04,21.11111111111111,13.88888888888889,17.5,0.0,2.68,0,0,1
2020-04-05,18.333333333333332,13.88888888888889,16.11111111111111,3.0479999999999996,1.57,0,0,1
2020-04-06,17.77777777777778,13.333333333333332,15.555555555555555,27.94,2.01,1,0,0
2020-04-07,19.444444444444443,11.666666666666666,15.555555555555555,20.827999999999996,2.01,1,0,0
2020-04-08,17.77777777777778,11.11111111111111,14.444444444444445,0.254,2.91,1,0,1
2020-04-09,13.88888888888889,11.11111111111111,12.5,19.049999999999997,5.82,0,0,0
2020-04-10,19.444444444444443,10.555555555555555,15.0,4.064,3.13,0,0,0
2020-04-11,22.77777777777778,11.666666666666666,17.22222222222222,0.0,2.24,0,0,0
2020-04-12,17.22222222222222,14.444444444444445,15.833333333333332,1.5239999999999998,0.89,1,0,1
2020-04-13,19.444444444444443,13.333333333333332,16.38888888888889,0.0,2.01,0,0,1
2020-04-14,23.333333333333332,11.666666666666666,17.5,0.0,1.57,0,0,1
2020-04-15,28.333333333333332,13.333333333333332,20.833333333333332,0.0,1.79,0,0,0
2020-04-16,25.555555555555554,14.444444444444445,20.0,0.0,1.57,0,0,1
2020-04-17,21.666666666666668,15.0,18.333333333333332,0.0,1.79,0,0,1
2020-04-18,20.555555555555554,15.555555555555555,18.055555555555554,0.0,2.01,0,0,1
2020-04-19,21.11111111111111,15.0,18.055555555555554,0.0,2.24,0,0,1
2020-04-20,20.555555555555554,15.0,17.77777777777778,0.0,2.24,0,0,1
2020-04-21,23.333333333333332,14.444444444444445,18.88888888888889,0.0,1.79,0,0,1
2020-04-22,27.77777777777778,14.444444444444445,21.11111111111111,0.0,2.46,0,0,1
2020-04-23,33.333333333333336,18.333333333333332,25.833333333333332,0.0,2.01,0,0,1
2020-04-24,33.888888888888886,18.88888888888889,26.38888888888889,0.0,1.57,0,0,1
2020-04-25,33.888888888888886,20.555555555555554,27.22222222222222,0.0,1.34,0,0,1
2020-04-26,31.11111111111111,17.77777777777778,24.444444444444443,0.0,1.57,0,0,1
2020-04-27,27.22222222222222,17.22222222222222,22.22222222222222,0.0,1.34,0,0,1
2020-04-28,29.444444444444443,17.77777777777778,23.61111111111111,0.0,1.12,0,0,1
2020-04-29,26.11111111111111,17.77777777777778,21.944444444444443,0.0,1.57,0,0,1
2020-04-30,24.444444444444443,17.77777777777778,21.11111111111111,0.0,1.57,0,0,1
2020-05-01,26.11111111111111,16.666666666666668,21.38888888888889,0.0,1.34,0,0,1
2020-05-02,26.11111111111111,17.22222222222222,21.666666666666668,0.0,2.24,0,0,0
2020-05-03,25.0,16.11111111111111,20.555555555555554,0.0,1.34,0,0,0
2020-05-04,28.333333333333332,15.555555555555555,21.944444444444443,0.0,1.79,0,0,1
2020-05-05,31.666666666666664,17.77777777777778,24.72222222222222,0.0,2.01,0,0,1
2020-05-06,33.333333333333336,18.333333333333332,25.833333333333332,0.0,1.57,0,0,1
2020-05-07,35.0,20.0,27.5,0.0,1.57,0,0,1
2020-05-08,31.666666666666664,18.333333333333332,25.0,0.0,0.89,0,0,1
2020-05-09,26.11111111111111,17.77777777777778,21.944444444444443,0.0,2.01,0,0,1
2020-05-10,24.444444444444443,17.22222222222222,20.833333333333332,0.0,2.01,0,0,1
2020-05-11,23.88888888888889,16.11111111111111,20.0,0.0,2.68,0,0,1
2020-05-12,22.77777777777778,15.555555555555555,19.166666666666668,0.0,2.24,0,0,1
2020-05-13,23.88888888888889,15.0,19.444444444444443,0.0,2.01,0,0,0
2020-05-14,25.0,16.666666666666668,20.833333333333332,0.0,3.58,0,0,0
2020-05-15,26.666666666666664,18.333333333333332,22.5,0.0,2.01,0,0,0
2020-05-16,27.77777777777778,16.666666666666668,22.22222222222222,0.0,2.01,0,0,0
2020-05-17,28.333333333333332,18.333333333333332,23.333333333333332,0.0,2.24,0,0,1
2020-05-18,23.88888888888889,16.11111111111111,20.0,3.556,3.13,0,0,1
2020-05-19,22.77777777777778,13.88888888888889,18.333333333333332,0.0,3.36,0,0,0
2020-05-20,25.0,16.11111111111111,20.555555555555554,0.0,2.91,0,0,0
2020-05-21,26.666666666666664,15.0,20.833333333333332,0.0,2.01,0,0,0
2020-05-22,26.11111111111111,16.666666666666668,21.38888888888889,0.0,2.91,0,0,1
2020-05-23,23.88888888888889,16.11111111111111,20.0,0.0,3.13,0,0,0
2020-05-24,26.11111111111111,14.444444444444445,20.27777777777778,0.0,1.57,0,0,1
2020-05-25,25.0,15.0,20.0,0.0,1.34,0,0,0
2020-05-26,27.77777777777778,15.555555555555555,21.666666666666668,0.0,1.57,1,0,1
2020-05-27,27.22222222222222,15.555555555555555,21.38888888888889,0.0,1.34,1,0,1
2020-05-28,23.88888888888889,16.666666666666668,20.27777777777778,0.0,2.01,0,0,1
2020-05-29,22.77777777777778,17.22222222222222,20.0,0.0,1.34,0,0,1
2020-05-30,23.88888888888889,16.11111111111111,20.0,0.0,3.13,0,0,0
2020-05-31,23.88888888888889,15.0,19.444444444444443,0.0,1.79,0,0,0
2020-06-01,27.22222222222222,16.11111111111111,21.666666666666668,0.0,1.57,0,0,0
2020-06-02,28.333333333333332,16.666666666666668,22.5,0.0,1.12,0,0,0
2020-06-03,32.77777777777778,17.77777777777778,25.27777777777778,0.0,1.57,0,0,0
2020-06-04,26.11111111111111,17.77777777777778,21.944444444444443,0.0,1.34,0,0,1
2020-06-05,22.77777777777778,17.77777777777778,20.27777777777778,0.0,1.79,0,0,0
2020-06-06,23.333333333333332,16.666666666666668,20.0,0.0,2.46,0,0,0
2020-06-07,25.0,16.666666666666668,20.833333333333332,0.0,3.8,0,0,0
2020-06-08,31.11111111111111,18.333333333333332,24.72222222222222,0.0,2.46,0,0,0
2020-06-09,36.666666666666664,18.88888888888889,27.77777777777778,0.0,1.79,0,0,0
2020-06-10,36.666666666666664,19.444444444444443,28.055555555555554,0.0,2.46,0,0,0
2020-06-11,32.77777777777778,17.22222222222222,25.0,0.0,2.01,0,0,1
2020-06-12,26.11111111111111,16.666666666666668,21.38888888888889,0.0,1.79,0,0,0
2020-06-13,25.0,16.666666666666668,20.833333333333332,0.0,2.91,0,0,0
2020-06-14,26.666666666666664,16.11111111111111,21.38888888888889,0.0,3.36,0,0,0
2020-06-15,26.666666666666664,16.666666666666668,21.666666666666668,0.0,1.57,0,0,0
2020-06-16,24.444444444444443,17.77777777777778,21.11111111111111,0.0,2.46,0,0,0
2020-06-17,23.88888888888889,17.77777777777778,20.833333333333332,0.0,2.01,0,0,0
2020-06-18,22.77777777777778,17.22222222222222,20.0,0.0,2.01,0,0,1
2020-06-19,24.444444444444443,17.22222222222222,20.833333333333332,0.0,2.01,0,0,1
2020-06-20,22.22222222222222,17.77777777777778,20.0,0.0,2.24,0,0,0
2020-06-21,24.444444444444443,17.77777777777778,21.11111111111111,0.0,2.24,0,0,1
2020-06-22,26.666666666666664,17.77777777777778,22.22222222222222,0.0,2.24,0,0,1
2020-06-23,25.555555555555554,17.22222222222222,21.38888888888889,0.0,1.34,0,0,1
